lot_number,product_id,batch_date,quantity,unit,temperature_c,pressure_bar,inspector_id,facility_code,compliance_status,notes
LOT001,PROD-A,2026-01-15,100,kg,72.3,4.2,INSP-01,FAC-01,PASS,Normal run
LOT002,PROD-A,2026-01-16,150,kg,68.9,4.1,INSP-02,FAC-01,PASS,Normal run
LOT003,PROD-B,2026-01-17,200,kg,71.5,4.3,INSP-01,FAC-02,PASS,Normal run
LOT004,PROD-B,2026-01-18,180,kg,69.8,4.0,INSP-03,FAC-02,PASS,Normal run
LOT005,PROD-C,2026-01-19,120,kg,73.2,4.2,INSP-02,FAC-01,PASS,Normal run
LOT006,PROD-C,2026-01-20,130,kg,70.1,4.1,INSP-01,FAC-03,PASS,Normal run
LOT007,PROD-A,2026-01-21,110,kg,72.8,4.3,INSP-03,FAC-01,PASS,Normal run
LOT008,PROD-B,2026-01-22,160,kg,68.5,4.0,INSP-02,FAC-02,PASS,Normal run
LOT009,PROD-C,2026-01-23,140,kg,71.9,4.2,INSP-01,FAC-03,PASS,Normal run
LOT010,PROD-A,2026-01-24,125,kg,70.4,4.1,INSP-03,FAC-01,PASS,Normal run
LOT011,PROD-B,2026-01-25,175,kg,72.1,4.3,INSP-02,FAC-02,PASS,Normal run
LOT012,PROD-C,2026-01-26,145,kg,69.7,4.0,INSP-01,FAC-03,PASS,Normal run
LOT013,PROD-A,2026-01-27,105,kg,73.5,4.2,INSP-03,FAC-01,PASS,Normal run
LOT014,PROD-B,2026-01-28,165,kg,70.8,4.1,INSP-02,FAC-02,PASS,Normal run
LOT015,PROD-C,2026-01-29,135,kg,72.4,4.3,INSP-01,FAC-03,PASS,Normal run
LOT016,PROD-A,2026-01-30,115,kg,68.2,4.0,INSP-03,FAC-01,PASS,Normal run
LOT017,PROD-B,2026-01-31,185,kg,71.6,4.2,INSP-02,FAC-02,PASS,Normal run
LOT018,PROD-C,2026-02-01,155,kg,70.3,4.1,INSP-01,FAC-03,PASS,Normal run
LOT019,PROD-A,2026-02-02,195,kg,73.8,4.3,INSP-03,FAC-01,PASS,Normal run
LOT020,PROD-B,2026-02-03,170,kg,69.5,4.0,INSP-02,FAC-02,PASS,Normal run
LOT021,PROD-C,2026-02-04,140,kg,71.2,4.2,INSP-01,FAC-03,PASS,Normal run
LOT022,PROD-A,2026-02-05,108,kg,72.6,4.1,INSP-03,FAC-01,PASS,Normal run
LOT023,PROD-B,2026-02-06,162,kg,70.9,4.3,INSP-02,FAC-02,PASS,Normal run
LOT024,PROD-C,2026-02-07,133,kg,68.8,4.0,INSP-01,FAC-03,PASS,Normal run
LOT025,PROD-A,2026-02-08,118,kg,73.1,4.2,INSP-03,FAC-01,PASS,Normal run
LOT026,PROD-B,2026-02-09,172,kg,70.7,4.1,INSP-02,FAC-02,PASS,Normal run
LOT027,PROD-C,2026-02-10,148,kg,71.8,4.3,INSP-01,FAC-03,PASS,Normal run
LOT028,PROD-A,2026-02-11,122,kg,69.3,4.0,INSP-03,FAC-01,PASS,Normal run
LOT029,PROD-B,2026-02-12,178,kg,72.5,4.2,INSP-02,FAC-02,PASS,Normal run
LOT030,PROD-C,2026-02-13,152,kg,70.6,4.1,INSP-01,FAC-03,PASS,Normal run
LOT031,PROD-A,2026-02-14,112,kg,71.4,4.3,INSP-03,FAC-01,PASS,Normal run
LOT032,PROD-B,2026-02-15,168,kg,69.1,4.0,INSP-02,FAC-02,PASS,Normal run
LOT033,PROD-C,2026-02-16,138,kg,73.4,4.2,INSP-01,FAC-03,PASS,Normal run
